Name,FirstAvailable,Date
Armada Strike,Launch,11/13/20
Cartel,Launch,11/13/20
Checkmate,Launch,11/13/20
Crossroads Strike,Launch,11/13/20
Garrison,Launch,11/13/20
Miami,Launch,11/13/20
Moscow,Launch,11/13/20
Satellite,Launch,11/13/20
Nuketown '84,Preseason1,11/24/20
Express,Season1,12/16/20
Raid,Season1,12/16/20
The Pines,Season1,12/16/20
Apocalypse,Season2,2/25/21
Miami Strike,Season2,3/25/21
Diesel,Season3,4/22/21
Standoff,Season3,5/20/21
Yamantau,Season3,4/22/21
Collateral Strike,Season4,6/17/21
Hijacked,Season4,6/17/21
Rush,Season4,7/15/21
Drive-In,Season5,8/26/21
Echelon,Season5,8/13/21
Slums,Season5,8/13/21
Zoo,Season5,9/9/21
Amerika,Season6,10/7/21
Deprogram,Season6,10/7/21
WMD,VG,3/17/22
Jungle,VG,5/6/22
