"Map1","Map2","Choice","MapVote","Date","FullPartial","Result","Eliminations","Deaths","Score","Damage","TotalXP","PrimaryWeapon","XPType","DidPlayerVote","GameType","Confirms","Denies","Objectives","ObjectiveKills","Captures","Diffuses","Plants","Time_Sec","Time_Min"
"Raid","Armada Strike","Raid","2 to 0",2020-12-30,"Full","87-100",24,21,3255,4174,14253,NA,"10% Season Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Garrison","Miami","1 to 0",2020-12-30,"Full","34-52",6,12,1050,1133,6551,NA,"10% Season Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","Moscow","Nuketown '84 Holiday","2 to 0",2020-12-30,"Full","76-100",12,12,1925,1408,5596,NA,"10% Season Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Miami","Crossroads Strike","Crossroads Strike","6 to 0",2020-12-30,"Full","67-100",18,19,1765,1914,5372,NA,"10% Season Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satellite","The Pines","Satellite","1 to 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armada Strike","Miami","Armada Strike","2 to 2",2020-12-31,"Full","87-68",19,8,4215,2970,11026,NA,"10% Season Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cartel","The Pines","The Pines","2 to 0",2020-12-31,"Full","68-74",21,10,2910,3044,8650,NA,"10% Season Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrison","Miami","Garrison","1 to 0",2020-12-31,"Full","81-84",20,12,3445,3312,9529,NA,"10% Season Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crossroads Strike","Satellite","Crossroads Strike","2 to 2",2020-12-31,"Full","100-84",21,17,3150,3014,17844,NA,"10% Season Boost","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nuketown '84 Holiday","Checkmate","Nuketown '84 Holiday","2 to 1",2020-12-31,"Full","100-96",20,11,3520,2970,15866,NA,"Double XP + 10%","No","TDM",NA,NA,NA,NA,NA,NA,NA,NA,NA
